Source ,Target,Type,Weight
41,3,Undirected,4931256
3,291,Undirected,4931256
44,129,Undirected,63769457
232,4,Undirected,70471931.5
232,3,Undirected,4777536.5
187,2,Undirected,5746431
180,30,Undirected,5746431
318,10,Undirected,5746431
318,6,Undirected,5746431
318,36,Undirected,5746431
1,3,Undirected,37056191
3,5,Undirected,37056191
1,16,Undirected,389095309.3
5,16,Undirected,14934415
1,15,Undirected,7594957
5,15,Undirected,26242718
320,6,Undirected,23166867.5
320,15,Undirected,4599461
97,4,Undirected,5732504
66,17,Undirected,9705058.333
7,312,Undirected,9705058.333
312,6,Undirected,5421875
312,17,Undirected,5421875
10,127,Undirected,5421875
60,6,Undirected,5421875
53,75,Undirected,5421875
156,129,Undirected,5421875
7,91,Undirected,25300522
84,129,Undirected,25300522
96,10,Undirected,31064444
96,36,Undirected,31064444
82,9,Undirected,28088870.33
1,325,Undirected,41613256
27,133,Undirected,32307744
80,3,Undirected,21329917.5
196,6,Undirected,21329917.5
184,6,Undirected,19866145
10,136,Undirected,66700604
136,36,Undirected,75369594
105,15,Undirected,59784255.33
362,15,Undirected,17252889.33
101,5,Undirected,4980714
56,13,Undirected,40253485
22,37,Undirected,40253485
22,45,Undirected,40253485
82,277,Undirected,141788348
33,277,Undirected,141788348
277,6,Undirected,26963555.5
82,73,Undirected,26963555.5
33,73,Undirected,75652010.67
73,6,Undirected,11228411
261,1,Undirected,32691330.5
261,5,Undirected,26299025
133,119,Undirected,26299025
4,119,Undirected,26299025
119,16,Undirected,26299025
119,15,Undirected,48533119.5
133,17,Undirected,60612336.5
133,47,Undirected,60612336.5
39,133,Undirected,103506300
133,26,Undirected,103506300
133,255,Undirected,103506300
116,4,Undirected,103506300
116,119,Undirected,32158182.67
119,64,Undirected,72371104
116,2,Undirected,21336563.67
116,3,Undirected,72093167.67
370,30,Undirected,16472758.5
30,160,Undirected,16472758.5
370,2,Undirected,16472758.5
77,254,Undirected,16472758.5
77,17,Undirected,42228837
77,268,Undirected,12054533.5
77,129,Undirected,12054533.5
254,1,Undirected,12054533.5
1,268,Undirected,194662920.3
1,129,Undirected,12395171.5
254,20,Undirected,4640455
20,268,Undirected,4640455
20,129,Undirected,4640455
254,5,Undirected,73863686.67
5,268,Undirected,6573567
5,129,Undirected,80750208
254,28,Undirected,74272336.67
268,28,Undirected,107459142.5
28,129,Undirected,50408638.33
65,10,Undirected,53182825.5
65,30,Undirected,101939379
65,35,Undirected,101939379
65,168,Undirected,101939379
65,36,Undirected,101939379
65,79,Undirected,101939379
39,10,Undirected,101939379
10,26,Undirected,101939379
39,30,Undirected,101939379
30,26,Undirected,101939379
39,35,Undirected,101939379
35,26,Undirected,52317145.67
39,168,Undirected,57729325.33
26,168,Undirected,5328441.5
39,36,Undirected,315119110
26,36,Undirected,25340697
39,79,Undirected,25885755
26,79,Undirected,5381713
58,10,Undirected,30142250.67
58,30,Undirected,204926585.5
58,35,Undirected,94961498.5
58,168,Undirected,71962736
58,36,Undirected,71962736
58,79,Undirected,46575746
39,95,Undirected,45412178
32,95,Undirected,45412178
95,247,Undirected,45412178
247,17,Undirected,45412178
39,42,Undirected,45412178
32,42,Undirected,45412178
247,42,Undirected,45412178
228,2,Undirected,45412178
7,162,Undirected,45412178
162,6,Undirected,45412178
162,36,Undirected,45412178
162,79,Undirected,45412178
29,43,Undirected,45412178
22,32,Undirected,32975714.5
32,32,Undirected,369685049
35,104,Undirected,369685049
35,129,Undirected,369685049
12,254,Undirected,369685049
39,254,Undirected,79393080
12,268,Undirected,79393080
39,268,Undirected,13748972
12,281,Undirected,13748972
39,281,Undirected,13748972
82,39,Undirected,279577657
107,71,Undirected,162271994
123,71,Undirected,162271994
130,79,Undirected,162271994
7,161,Undirected,162271994
10,161,Undirected,157185148.5
10,90,Undirected,157185148.5
30,161,Undirected,164723704.5
30,90,Undirected,257207724
35,161,Undirected,257207724
35,90,Undirected,68064940.5
161,6,Undirected,9787327
161,168,Undirected,9787327
90,168,Undirected,9787327
161,36,Undirected,6090404
90,36,Undirected,6090404
161,79,Undirected,6090404
90,79,Undirected,6090404
12,161,Undirected,6090404
161,2,Undirected,6090404
161,16,Undirected,6090404
161,15,Undirected,24828305.5
12,90,Undirected,24828305.5
