Source,Target,Type,Weight
21,65,Undirected,199120
20,29,Undirected,199120
20,15,Undirected,199120
92,5,Undirected,2331763
93,5,Undirected,1643153.333
5,175,Undirected,1754149
93,10,Undirected,1643153.333
5,94,Undirected,2426852
94,27,Undirected,2426852
23,5,Undirected,1972188
42,4,Undirected,947873
95,5,Undirected,2610971.5
36,8,Undirected,5116277.25
5,74,Undirected,2400337.667
52,10,Undirected,4997271.75
6,100,Undirected,8726618.75
41,27,Undirected,4295091
28,100,Undirected,7449997
50,10,Undirected,2305754.25
66,10,Undirected,2305754.25
96,1,Undirected,741070.3333
96,3,Undirected,741070.3333
7,28,Undirected,3890089
4,110,Undirected,1866457.75
5,110,Undirected,1866457.75
27,230,Undirected,3163168.25
89,5,Undirected,16989044.67
61,4,Undirected,6524760.333
4,213,Undirected,1573237.333
38,3,Undirected,3217987
38,28,Undirected,5748047.333
17,51,Undirected,3335483.333
4,51,Undirected,3335483.333
51,10,Undirected,3335483.333
51,27,Undirected,3335483.333
18,40,Undirected,2644411.333
40,79,Undirected,2644411.333
18,46,Undirected,2644411.333
79,46,Undirected,2644411.333
4,69,Undirected,6318967.333
69,10,Undirected,6318967.333
97,98,Undirected,3233092
78,98,Undirected,3233092
34,98,Undirected,3233092
98,121,Undirected,3233092
80,11,Undirected,972673.3333
99,61,Undirected,12505487
61,128,Undirected,12505487
19,12,Undirected,1314041.333
53,11,Undirected,1088549
19,25,Undirected,8857191.667
7,53,Undirected,1088549
47,47,Undirected,3391831
72,8,Undirected,520756.6667
8,54,Undirected,520756.6667
8,231,Undirected,520756.6667
22,22,Undirected,1085738.667
72,27,Undirected,520756.6667
54,27,Undirected,520756.6667
27,231,Undirected,520756.6667
35,6,Undirected,2727501
30,28,Undirected,7202847.333
17,28,Undirected,9014712.333
28,33,Undirected,7202847.333
5,13,Undirected,395930.3333
14,26,Undirected,221566.6667
14,37,Undirected,221566.6667
1,37,Undirected,221566.6667
26,12,Undirected,1494721.333
18,65,Undirected,220022.3333
14,12,Undirected,220022.3333
73,11,Undirected,1928872.333
9,28,Undirected,898792.6667
34,10,Undirected,5983174.333
35,100,Undirected,7882793
38,1,Undirected,2203215.667
1,145,Undirected,2273628
2,74,Undirected,3724552.667
74,12,Undirected,3724552.667
12,213,Undirected,3724552.667
8,75,Undirected,4673105.667
75,47,Undirected,4673105.667
4,123,Undirected,1521839
5,123,Undirected,1521839
10,123,Undirected,1521839
100,100,Undirected,1849511.667
1,123,Undirected,1344270.333
89,1,Undirected,13198421.67
