,song_popularity,explicit,track_number,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,artist_1,artist_2,followers_artist1,popularity_artist1,genres_artist1,followers_artist2,popularity_artist2,genres_artist2,artist1_num_available_markets,artist2_num_available_markets,release_date_year,modularity_class_artist1,modularity_class_artist2,clustering_genre_artist1,clustering_genre_artist2
642,low,False,13,235072,1,0,4,0.107,0.776,0.814,0.0,0.0971,-3.855,0.28,0.49,92.901,Savas,Sido,40210,19,"['deep german hip hop', 'german hip hop']",1103684,77,"['german hip hop', 'german pop']",0.0,34.0,2017,3,3,0.785714,0.350427
643,low,True,9,244843,1,0,4,0.0355,0.784,0.711,0.0,0.116,-4.235,0.219,0.622,89.023,Savas,Sido,40210,19,"['deep german hip hop', 'german hip hop']",1103684,77,"['german hip hop', 'german pop']",0.0,34.0,2017,3,3,0.785714,0.350427
644,average,False,5,182973,7,1,4,0.246,0.757,0.65,5.93e-05,0.137,-6.382,0.0968,0.358,96.051,Amanda,Sido,33430,45,['german pop'],1103684,77,"['german hip hop', 'german pop']",79.0,34.0,2017,3,3,0.5,0.350427
645,average,False,1,183666,7,1,4,0.239,0.762,0.66,3.25e-05,0.11,-6.381,0.0871,0.353,95.963,Amanda,Sido,33430,45,['german pop'],1103684,77,"['german hip hop', 'german pop']",79.0,34.0,2017,3,3,0.5,0.350427
646,average,True,10,217674,9,0,4,0.431,0.519,0.775,0.0,0.107,-4.362,0.387,0.54,172.307,Kool Savas,Sido,381060,68,"['deep german hip hop', 'german hip hop', 'turkish hip hop']",1103684,77,"['german hip hop', 'german pop']",70.0,34.0,2019,3,3,0.785714,0.350427
647,average,True,1,244843,1,0,4,0.0365,0.79,0.702,1.09e-06,0.122,-4.154,0.216,0.642,89.014,Kool Savas,Sido,381060,68,"['deep german hip hop', 'german hip hop', 'turkish hip hop']",1103684,77,"['german hip hop', 'german pop']",70.0,34.0,2017,3,3,0.785714,0.350427
648,low,False,1,235072,1,0,4,0.103,0.772,0.809,0.0,0.0986,-3.8,0.272,0.542,93.068,Kool Savas,Sido,381060,68,"['deep german hip hop', 'german hip hop', 'turkish hip hop']",1103684,77,"['german hip hop', 'german pop']",70.0,34.0,2017,3,3,0.785714,0.350427
649,average,True,9,244843,1,0,4,0.0365,0.79,0.702,1.09e-06,0.122,-4.154,0.216,0.642,89.015,Kool Savas,Sido,381060,68,"['deep german hip hop', 'german hip hop', 'turkish hip hop']",1103684,77,"['german hip hop', 'german pop']",70.0,34.0,2017,3,3,0.785714,0.350427
650,low,False,4,203973,8,0,4,0.488,0.717,0.682,0.0,0.143,-7.417,0.355,0.708,90.142,Estikay,Sido,48526,55,"['deep german hip hop', 'german cloud rap', 'german hip hop', 'hamburg hip hop', 'indie deutschrap']",1103684,77,"['german hip hop', 'german pop']",79.0,34.0,2017,3,3,0.785714,0.350427
651,high,False,1,180436,1,1,4,0.152,0.595,0.69,0.0,0.346,-3.803,0.116,0.429,169.728,Freschta Akbarzada,Sido,2063,49,['german pop'],1103684,77,"['german hip hop', 'german pop']",79.0,34.0,2019,3,3,0.5,0.350427
652,average,False,1,189200,9,0,4,0.0641,0.594,0.637,0.0,0.0856,-5.634,0.0826,0.268,88.817,Sun Diego,Falco,149765,55,"['deep german hip hop', 'german hip hop']",22,32,[],79.0,79.0,2018,3,0,0.785714,0.0
653,high,False,1,168138,8,0,4,0.182,0.682,0.826,0.0,0.052,-4.854,0.0528,0.688,134.067,Lexa,Gloria Groove,1524494,74,"['baile pop', 'funk carioca', 'pop nacional']",669799,66,"['baile pop', 'funk carioca', 'pop']",78.0,78.0,2018,2,2,0.513357,0.513357
654,high,False,1,120200,6,1,4,0.46,0.888,0.841,9.12e-05,0.0568,-1.933,0.147,0.964,149.994,Lexa,Pedro Sampaio,1524494,74,"['baile pop', 'funk carioca', 'pop nacional']",422060,76,"['baile pop', 'funk carioca']",78.0,78.0,2019,2,2,0.513357,0.513357
655,high,False,1,134106,11,0,4,0.211,0.677,0.984,0.0,0.0632,-3.539,0.286,0.906,150.086,Lexa,MC Lan,1524494,74,"['baile pop', 'funk carioca', 'pop nacional']",1929185,71,"['baile pop', 'funk carioca', 'funk ostentacao']",78.0,79.0,2018,2,2,0.513357,0.513357
656,average,False,1,170709,0,1,4,0.214,0.923,0.488,0.0,0.165,-2.817,0.179,0.585,129.944,Lucas Lucco,MC Lan,2296331,67,"['funk carioca', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",1929185,71,"['baile pop', 'funk carioca', 'funk ostentacao']",79.0,79.0,2017,2,2,0.462293,0.513357
657,average,True,1,188368,8,1,4,0.127,0.919,0.804,5.6e-05,0.0448,-0.835,0.0486,0.305,129.983,MC WM,MC Lan,2998633,68,"['baile pop', 'brazilian edm', 'funk carioca', 'funk ostentacao']",1929185,71,"['baile pop', 'funk carioca', 'funk ostentacao']",79.0,79.0,2016,2,2,0.513357,0.513357
658,low,True,1,156969,6,1,4,0.0779,0.931,0.415,0.0,0.364,-6.159,0.395,0.699,130.033,MC WM,MC Lan,2998633,68,"['baile pop', 'brazilian edm', 'funk carioca', 'funk ostentacao']",1929185,71,"['baile pop', 'funk carioca', 'funk ostentacao']",79.0,79.0,2017,2,2,0.513357,0.513357
659,average,True,7,157022,1,1,4,0.0676,0.714,0.393,0.0,0.376,-6.804,0.508,0.695,130.026,MC WM,MC Lan,2998633,68,"['baile pop', 'brazilian edm', 'funk carioca', 'funk ostentacao']",1929185,71,"['baile pop', 'funk carioca', 'funk ostentacao']",79.0,79.0,2017,2,2,0.513357,0.513357
660,low,True,4,188003,1,1,5,0.0827,0.626,0.77,1.89e-05,0.0305,-1.784,0.118,0.316,86.73,MC WM,MC Lan,2998633,68,"['baile pop', 'brazilian edm', 'funk carioca', 'funk ostentacao']",1929185,71,"['baile pop', 'funk carioca', 'funk ostentacao']",79.0,79.0,2017,2,2,0.513357,0.513357
661,low,False,1,184068,10,0,4,0.0692,0.869,0.453,5.5e-05,0.0712,-9.748,0.169,0.288,105.127,MC Fioti,MC Lan,1269010,62,['funk carioca'],1929185,71,"['baile pop', 'funk carioca', 'funk ostentacao']",40.0,79.0,2018,2,2,0.462293,0.513357
662,low,False,1,228874,6,1,4,0.178,0.762,0.631,0.0,0.146,-4.837,0.0544,0.379,118.969,Paulo Londra,Lenny Tavárez,10042392,80,"['argentine hip hop', 'trap argentino', 'trap latino']",632378,89,"['latin', 'trap argentino']",53.0,59.0,2018,2,2,0.721053,0.230741
663,high,True,1,304733,1,1,4,0.141,0.795,0.715,2.12e-06,0.179,-3.582,0.0838,0.758,165.941,Dalex,Lenny Tavárez,1466243,89,"['latin', 'r&b en espanol']",632378,89,"['latin', 'trap argentino']",66.0,59.0,2019,2,2,0.230741,0.230741
664,high,True,1,204786,8,1,4,0.09,0.584,0.698,6.87e-05,0.171,-3.961,0.106,0.765,166.047,Dalex,Lenny Tavárez,1466243,89,"['latin', 'r&b en espanol']",632378,89,"['latin', 'trap argentino']",66.0,59.0,2019,2,2,0.230741,0.230741
665,high,False,1,249520,0,0,4,0.471,0.654,0.672,0.0,0.0781,-5.98,0.311,0.343,181.857,Dalex,Lenny Tavárez,1466243,89,"['latin', 'r&b en espanol']",632378,89,"['latin', 'trap argentino']",66.0,59.0,2019,2,2,0.230741,0.230741
666,high,False,1,268794,1,1,4,0.102,0.86,0.697,0.0,0.159,-4.727,0.0718,0.586,129.978,Paulo Londra,De La Ghetto,10042392,80,"['argentine hip hop', 'trap argentino', 'trap latino']",3823415,78,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",53.0,79.0,2019,2,2,0.721053,0.230741
667,high,False,12,268794,1,1,4,0.102,0.86,0.697,0.0,0.159,-4.727,0.0718,0.586,129.978,Paulo Londra,Ghetto,10042392,80,"['argentine hip hop', 'trap argentino', 'trap latino']",11368,53,['grime'],53.0,79.0,2019,2,1,0.721053,0.611742
668,average,True,8,228603,10,0,4,0.318,0.828,0.693,0.0,0.177,-5.294,0.284,0.87,137.985,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
669,average,False,6,253373,2,1,4,0.0526,0.833,0.701,2.46e-06,0.109,-4.602,0.265,0.524,156.094,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2019,3,3,0.785714,0.350427
670,low,True,6,183588,6,0,4,0.382,0.806,0.743,0.0,0.0947,-4.426,0.263,0.488,120.048,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
671,average,True,4,178170,10,0,4,0.00498,0.834,0.841,2.93e-05,0.5,-6.249,0.176,0.378,116.029,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
672,low,True,1,266642,8,0,4,0.296,0.82,0.615,0.0,0.0646,-8.274,0.213,0.876,143.959,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
673,low,True,14,217333,1,1,4,0.0141,0.548,0.464,0.0,0.135,-7.207,0.404,0.172,134.437,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
674,low,True,1,203625,10,0,3,0.133,0.644,0.678,0.0,0.138,-7.554,0.331,0.421,108.735,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
675,low,True,15,259875,6,0,4,0.162,0.523,0.468,0.0,0.111,-7.875,0.289,0.192,78.982,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
676,low,True,1,228603,10,0,4,0.318,0.828,0.693,0.0,0.177,-5.294,0.284,0.87,137.985,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
677,low,True,13,204191,4,0,4,0.0903,0.8,0.649,0.0,0.117,-5.529,0.149,0.313,113.902,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
678,low,True,16,144380,8,1,4,0.161,0.696,0.729,0.0,0.272,-6.62,0.312,0.333,124.586,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
679,low,True,1,117799,10,0,4,0.189,0.441,0.801,0.0,0.472,-6.055,0.634,0.471,184.584,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
680,average,True,2,217719,11,0,4,0.0744,0.738,0.746,0.0,0.0691,-6.687,0.406,0.54,120.037,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
681,average,True,1,268979,2,1,4,0.115,0.868,0.552,0.0,0.089,-8.364,0.345,0.548,135.928,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
682,low,True,3,207015,10,0,4,0.2,0.777,0.577,0.0,0.0815,-5.946,0.386,0.643,74.983,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
683,average,True,10,203625,10,0,3,0.133,0.644,0.678,0.0,0.138,-7.554,0.331,0.421,108.735,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
684,average,True,12,172445,9,0,4,0.194,0.749,0.837,1.91e-05,0.263,-5.502,0.314,0.453,100.005,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
685,low,True,18,204645,6,0,4,0.153,0.754,0.716,0.0,0.08,-7.38,0.532,0.871,156.052,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
686,low,True,17,183662,3,0,5,0.239,0.654,0.719,0.0,0.241,-6.684,0.524,0.643,118.339,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
687,high,False,1,253346,2,1,4,0.0519,0.828,0.686,2.23e-06,0.11,-5.242,0.264,0.544,156.033,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2019,3,3,0.785714,0.350427
688,average,True,7,266642,8,0,4,0.296,0.82,0.615,0.0,0.0646,-8.274,0.213,0.876,143.959,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
689,low,True,11,242783,10,0,4,0.309,0.497,0.787,0.000107,0.0902,-6.628,0.116,0.971,83.712,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
690,low,True,1,178170,10,0,4,0.00498,0.834,0.841,2.93e-05,0.5,-6.249,0.176,0.378,116.029,KC Rebell,Summer Cem,959134,71,"['deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],66.0,64.0,2017,3,3,0.785714,0.350427
691,average,True,1,205013,0,1,4,0.152,0.765,0.592,0.0,0.109,-4.515,0.0477,0.0441,81.971,Veysel,Summer Cem,628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],38.0,64.0,2018,3,3,0.711111,0.350427
692,average,True,3,205013,0,1,4,0.152,0.765,0.592,0.0,0.109,-4.515,0.0477,0.0441,81.971,Veysel,Summer Cem,628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",890874,74,['german hip hop'],38.0,64.0,2018,3,3,0.711111,0.350427
693,high,False,2,235954,4,0,4,0.346,0.813,0.59,0.0,0.0335,-6.542,0.345,0.716,91.985,Capital Bra,Summer Cem,3286611,82,['german hip hop'],890874,74,['german hip hop'],47.0,64.0,2019,3,3,0.350427,0.350427
694,average,False,4,152880,1,0,4,0.258,0.877,0.549,0.0,0.0845,-7.415,0.385,0.661,87.987,Luciano,Summer Cem,319,13,[],890874,74,['german hip hop'],74.0,64.0,2019,0,3,0.0,0.350427
695,average,False,4,152880,1,0,4,0.258,0.877,0.549,0.0,0.0845,-7.415,0.385,0.661,87.987,Luciano,Summer Cem,624777,77,['german hip hop'],890874,74,['german hip hop'],74.0,64.0,2019,3,3,0.350427,0.350427
696,low,False,3,216760,2,1,4,0.0699,0.585,0.689,0.0,0.169,-5.065,0.0995,0.715,140.052,Glasperlenspiel,Summer Cem,310664,56,"['german pop', 'metropopolis']",890874,74,['german hip hop'],52.0,64.0,2018,3,3,0.5,0.350427
697,low,False,1,216759,2,1,4,0.0724,0.575,0.687,0.0,0.171,-5.04,0.105,0.713,139.964,Glasperlenspiel,Summer Cem,310664,56,"['german pop', 'metropopolis']",890874,74,['german hip hop'],52.0,64.0,2018,3,3,0.5,0.350427
698,average,True,3,168642,7,1,4,0.0726,0.857,0.746,0.00064,0.115,-7.563,0.289,0.453,117.941,Bausa,Summer Cem,814835,73,"['german hip hop', 'german pop']",890874,74,['german hip hop'],79.0,64.0,2019,3,3,0.350427,0.350427
699,average,True,1,168642,7,1,4,0.0726,0.857,0.746,0.00064,0.115,-7.563,0.289,0.453,117.941,Bausa,Summer Cem,814835,73,"['german hip hop', 'german pop']",890874,74,['german hip hop'],79.0,64.0,2019,3,3,0.350427,0.350427
700,high,False,1,170226,0,0,4,0.125,0.866,0.533,0.00199,0.085,-7.512,0.0953,0.325,88.993,reezy,Summer Cem,102671,65,"['german cloud rap', 'german hip hop', 'german trap']",890874,74,['german hip hop'],79.0,64.0,2019,3,3,0.461538,0.350427
701,average,False,1,169424,1,0,4,0.106,0.808,0.628,0.00435,0.0981,-5.4,0.0948,0.277,81.999,KC Rebell,Gringo,959134,71,"['deep german hip hop', 'german hip hop']",197960,67,"['german hip hop', 'latin hip hop', 'reggaeton']",66.0,56.0,2019,3,2,0.785714,0.350427
702,low,True,1,269613,1,1,4,0.0932,0.673,0.623,0.0,0.14,-6.153,0.373,0.191,149.815,Capital Bra,Gringo,3286611,82,['german hip hop'],197960,67,"['german hip hop', 'latin hip hop', 'reggaeton']",47.0,56.0,2017,3,2,0.350427,0.350427
703,average,True,11,269613,1,1,4,0.0932,0.673,0.623,0.0,0.14,-6.153,0.373,0.191,149.815,Capital Bra,Gringo,3286611,82,['german hip hop'],197960,67,"['german hip hop', 'latin hip hop', 'reggaeton']",47.0,56.0,2017,3,2,0.350427,0.350427
704,high,True,10,141586,7,1,4,0.0215,0.875,0.738,0.023,0.112,-6.172,0.175,0.21,104.953,Summer Cem,Gringo,890874,74,['german hip hop'],197960,67,"['german hip hop', 'latin hip hop', 'reggaeton']",54.0,56.0,2019,3,2,0.350427,0.350427
705,low,True,1,141586,7,1,4,0.0215,0.875,0.738,0.023,0.112,-6.172,0.175,0.21,104.953,Summer Cem,Gringo,890874,74,['german hip hop'],197960,67,"['german hip hop', 'latin hip hop', 'reggaeton']",54.0,56.0,2019,3,2,0.350427,0.350427
706,average,False,6,192400,8,1,4,0.0537,0.453,0.87,4.5e-06,0.134,-4.352,0.248,0.555,79.803,Kontra K,Gringo,1479926,77,"['christlicher rap', 'german hip hop']",197960,67,"['german hip hop', 'latin hip hop', 'reggaeton']",42.0,56.0,2019,0,2,0.0,0.350427
707,average,True,1,174415,0,1,4,0.0313,0.85,0.581,0.0,0.102,-5.998,0.188,0.735,95.026,KitschKrieg,Gringo,83577,69,['german hip hop'],197960,67,"['german hip hop', 'latin hip hop', 'reggaeton']",78.0,56.0,2019,3,2,0.350427,0.350427
708,average,False,5,194084,4,0,4,0.516,0.705,0.62,0.0,0.101,-6.064,0.0732,0.251,113.674,KC Rebell,Veysel,959134,71,"['deep german hip hop', 'german hip hop']",628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",66.0,43.0,2019,3,3,0.785714,0.711111
709,low,False,1,222870,11,0,4,0.168,0.678,0.682,0.0,0.0646,-7.27,0.0526,0.382,114.819,Moe Phoenix,Veysel,182859,65,['german hip hop'],628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",47.0,43.0,2018,3,3,0.350427,0.711111
710,low,True,1,161600,2,0,4,0.183,0.666,0.639,0.0,0.159,-4.319,0.363,0.218,157.778,Summer Cem,Veysel,890874,74,['german hip hop'],628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",54.0,43.0,2018,3,3,0.350427,0.711111
711,average,True,6,161600,2,0,4,0.183,0.666,0.639,0.0,0.159,-4.319,0.363,0.218,157.778,Summer Cem,Veysel,890874,74,['german hip hop'],628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",54.0,43.0,2018,3,3,0.350427,0.711111
712,average,False,10,185335,0,0,5,0.0792,0.634,0.559,0.0484,0.112,-5.145,0.467,0.435,139.781,AK Ausserkontrolle,Veysel,534676,71,"['deep german hip hop', 'german hip hop']",628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",27.0,43.0,2018,3,3,0.785714,0.711111
713,average,False,1,185335,8,1,5,0.0837,0.651,0.56,0.0533,0.109,-5.145,0.468,0.438,131.709,AK Ausserkontrolle,Veysel,534676,71,"['deep german hip hop', 'german hip hop']",628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",27.0,43.0,2018,3,3,0.785714,0.711111
714,low,False,1,222000,1,1,4,0.0148,0.797,0.689,0.0,0.106,-4.798,0.0769,0.445,150.039,Gringo,Veysel,197960,67,"['german hip hop', 'latin hip hop', 'reggaeton']",628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",54.0,43.0,2018,2,3,0.350427,0.711111
715,high,False,7,170623,11,0,4,0.13,0.798,0.668,0.0,0.0695,-5.712,0.271,0.537,99.895,Kontra K,Veysel,1479926,77,"['christlicher rap', 'german hip hop']",628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",42.0,43.0,2019,0,3,0.0,0.711111
716,low,False,1,170623,11,0,4,0.13,0.798,0.668,0.0,0.0695,-5.712,0.271,0.537,99.895,Kontra K,Veysel,1479926,77,"['christlicher rap', 'german hip hop']",628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",42.0,43.0,2019,0,3,0.0,0.711111
717,average,True,1,186382,9,1,4,0.0175,0.564,0.639,0.0,0.107,-5.93,0.191,0.328,94.062,A Boogie Wit da Hoodie,Veysel,4410269,90,"['melodic rap', 'pop rap', 'rap', 'trap']",628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",57.0,43.0,2019,1,3,0.367129,0.711111
718,low,True,1,231167,7,0,4,0.651,0.684,0.59,0.0,0.188,-5.088,0.0407,0.307,140.095,Soolking,Veysel,1186330,78,"['french hip hop', 'pop urbaine', 'rap algerien', 'rap tunisien']",628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",79.0,43.0,2019,3,3,0.454545,0.711111
719,average,True,8,191124,2,0,5,0.304,0.55,0.764,5.49e-05,0.113,-4.994,0.137,0.561,117.795,AriBeatz,Veysel,6760,55,['german hip hop'],628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",3.0,43.0,2019,3,3,0.350427,0.711111
720,low,True,1,150000,1,1,4,0.126,0.723,0.63,0.0,0.109,-5.571,0.0501,0.0354,144.988,Kalazh44,Veysel,65441,61,"['deep german hip hop', 'german hip hop']",628941,71,"['albanian hip hop', 'deep german hip hop', 'german hip hop']",79.0,43.0,2019,3,3,0.785714,0.711111
721,average,False,9,187066,2,1,4,0.0152,0.781,0.637,1.07e-05,0.0972,-5.543,0.0495,0.208,144.018,KC Rebell,Elias,959134,71,"['deep german hip hop', 'german hip hop']",90606,64,"['german hip hop', 'german trap']",66.0,63.0,2019,3,3,0.785714,0.350427
722,average,True,1,164000,8,1,4,0.035,0.815,0.729,5.49e-06,0.13,-4.331,0.301,0.279,82.007,Summer Cem,Elias,890874,74,['german hip hop'],90606,64,"['german hip hop', 'german trap']",54.0,63.0,2018,3,3,0.350427,0.350427
723,low,True,1,173986,10,0,4,0.18,0.856,0.763,0.0226,0.256,-5.537,0.08,0.776,122.048,Summer Cem,Elias,890874,74,['german hip hop'],90606,64,"['german hip hop', 'german trap']",54.0,63.0,2019,3,3,0.350427,0.350427
724,average,True,8,173986,10,0,4,0.18,0.856,0.763,0.0226,0.256,-5.537,0.08,0.776,122.048,Summer Cem,Elias,890874,74,['german hip hop'],90606,64,"['german hip hop', 'german trap']",54.0,63.0,2019,3,3,0.350427,0.350427
725,low,True,7,223706,5,0,4,0.0324,0.779,0.518,0.0,0.107,-5.446,0.12,0.151,146.102,Summer Cem,Elias,890874,74,['german hip hop'],90606,64,"['german hip hop', 'german trap']",54.0,63.0,2018,3,3,0.350427,0.350427
726,average,False,4,184178,6,0,4,0.0127,0.622,0.628,0.0,0.0507,-8.285,0.117,0.541,92.839,KC Rebell,Moé,959134,71,"['deep german hip hop', 'german hip hop']",795,40,[],66.0,79.0,2016,3,0,0.785714,0.0
727,average,False,8,183796,7,1,3,0.313,0.694,0.607,0.0,0.1,-6.464,0.225,0.51,158.904,KC Rebell,Ufo361,959134,71,"['deep german hip hop', 'german hip hop']",1370420,81,"['german cloud rap', 'german hip hop']",66.0,56.0,2019,3,3,0.785714,0.461538
728,low,True,4,263646,7,1,4,0.56,0.75,0.662,0.0,0.133,-6.142,0.239,0.533,123.949,Capital Bra,Ufo361,3286611,82,['german hip hop'],1370420,81,"['german cloud rap', 'german hip hop']",47.0,56.0,2018,3,3,0.350427,0.461538
729,average,True,7,155400,1,1,4,0.215,0.674,0.884,0.0,0.0997,-4.426,0.301,0.33,139.776,Capital Bra,Ufo361,3286611,82,['german hip hop'],1370420,81,"['german cloud rap', 'german hip hop']",47.0,56.0,2017,3,3,0.350427,0.461538
730,average,True,7,185733,10,0,4,0.705,0.738,0.449,1.2e-05,0.112,-7.316,0.309,0.421,145.195,Capital Bra,Ufo361,3286611,82,['german hip hop'],1370420,81,"['german cloud rap', 'german hip hop']",47.0,56.0,2017,3,3,0.350427,0.461538
731,low,True,1,263646,7,1,4,0.558,0.749,0.66,0.0,0.133,-6.143,0.241,0.542,123.96,Capital Bra,Ufo361,3286611,82,['german hip hop'],1370420,81,"['german cloud rap', 'german hip hop']",47.0,56.0,2018,3,3,0.350427,0.461538
732,high,False,8,220880,11,1,4,0.0827,0.827,0.646,0.0,0.123,-6.122,0.505,0.711,168.025,Luciano,Ufo361,319,13,[],1370420,81,"['german cloud rap', 'german hip hop']",74.0,56.0,2019,0,3,0.0,0.461538
733,high,False,8,220880,11,1,4,0.0827,0.827,0.646,0.0,0.123,-6.122,0.505,0.711,168.025,Luciano,Ufo361,624777,77,['german hip hop'],1370420,81,"['german cloud rap', 'german hip hop']",74.0,56.0,2019,3,3,0.350427,0.461538
734,low,True,1,206000,9,0,4,0.0288,0.602,0.706,0.0,0.105,-5.713,0.42,0.314,83.99,Dardan,Ufo361,649678,75,"['albanian hip hop', 'german hip hop']",1370420,81,"['german cloud rap', 'german hip hop']",4.0,56.0,2018,3,3,0.711111,0.461538
735,low,True,7,206426,10,1,4,0.031,0.737,0.716,0.0,0.107,-5.712,0.231,0.327,163.997,Dardan,Ufo361,649678,75,"['albanian hip hop', 'german hip hop']",1370420,81,"['german cloud rap', 'german hip hop']",4.0,56.0,2018,3,3,0.711111,0.461538
736,low,True,11,248332,3,0,4,0.744,0.702,0.648,0.000108,0.0999,-7.595,0.141,0.223,123.974,RAF Camora,Ufo361,1140736,80,['german hip hop'],1370420,81,"['german cloud rap', 'german hip hop']",75.0,56.0,2017,3,3,0.350427,0.461538
737,average,True,1,175124,1,0,4,0.212,0.873,0.486,1.52e-05,0.109,-6.897,0.11,0.189,94.989,Rich The Kid,Ufo361,2103416,82,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",1370420,81,"['german cloud rap', 'german hip hop']",37.0,56.0,2018,1,3,0.373684,0.461538
738,average,True,11,236070,11,0,4,0.173,0.89,0.512,0.0,0.132,-7.828,0.299,0.395,120.924,Olexesh,Ufo361,711963,68,['german hip hop'],1370420,81,"['german cloud rap', 'german hip hop']",78.0,56.0,2018,3,3,0.350427,0.461538
739,average,False,3,161564,10,0,4,0.00117,0.756,0.846,0.345,0.243,-4.842,0.11,0.227,166.929,Data Luv,Ufo361,46622,55,['german trap'],1370420,81,"['german cloud rap', 'german hip hop']",79.0,56.0,2019,3,3,1.0,0.461538
740,average,False,1,179620,0,1,4,0.407,0.764,0.772,0.0,0.109,-5.16,0.181,0.465,157.993,Selmon,Ufo361,6668,51,"['german alternative rap', 'german trap']",1370420,81,"['german cloud rap', 'german hip hop']",79.0,56.0,2019,0,3,0.0,0.461538
741,average,False,11,198483,1,1,4,0.0526,0.799,0.534,0.0435,0.453,-5.295,0.0594,0.547,118.044,Sido,Santos,1103684,77,"['german hip hop', 'german pop']",824,54,[],79.0,79.0,2019,3,0,0.350427,0.0
