,song_popularity,explicit,track_number,num_artists,num_available_markets,release_date,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,artist_1,artist_2,followers_artist1,popularity_artist1,genres_artist1,followers_artist2,popularity_artist2,genres_artist2
3954,31,True,2,2,79,2019-05-03,116734,1,0,4,0.0348,0.643,0.566,0.0,0.104,-7.531,0.316,0.204,153.101,Soufian,SOTT,159287,52,"['german cloud rap', 'german hip hop', 'german underground rap']",110,43,[]
3955,43,True,8,3,79,2019-08-23,140162,0,1,4,0.0207,0.788,0.779,0.0,0.0965,-5.619,0.107,0.377,141.971,Soufian,SOTT,159287,52,"['german cloud rap', 'german hip hop', 'german underground rap']",110,43,[]
3956,64,False,1,2,79,2017-05-12,234366,9,1,4,0.11,0.751,0.839,0.0,0.0865,-3.367,0.054,0.639,95.019,Maite Perroni,Cali Y El Dandee,773801,59,"['latin pop', 'latin viral pop', 'mexican pop']",2421531,76,"['champeta', 'colombian pop', 'electro latino', 'latin', 'latin pop', 'reggaeton', 'tropical']"
3957,55,True,2,2,79,2018-08-03,153706,10,0,3,0.137,0.776,0.515,0.0,0.321,-7.415,0.411,0.448,162.488,YG,Jay 305,2167964,82,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",12588,49,['west coast trap']
3958,66,False,1,2,79,2017-09-22,140698,5,0,4,0.101,0.81,0.885,0.0,0.268,-4.583,0.108,0.447,122.985,James Hype,Kelli-Leigh,46899,66,"['deep groove house', 'house', 'uk dance']",3277,57,['uk pop']
3959,7,False,1,2,0,2017-07-07,140698,5,0,4,0.101,0.81,0.885,0.0,0.268,-4.583,0.108,0.447,122.985,James Hype,Kelli-Leigh,46899,66,"['deep groove house', 'house', 'uk dance']",3277,57,['uk pop']
3960,65,True,9,2,79,2019-09-27,139500,1,1,4,0.0552,0.943,0.654,0.0,0.0893,-5.175,0.274,0.608,100.091,DaBaby,Stunna 4 Vegas,2746890,93,['nc hip hop'],235085,77,"['southern hip hop', 'trap']"
3961,1,True,11,5,0,2015-06-01,186447,7,0,4,0.00283,0.704,0.784,0.0,0.419,-4.463,0.142,0.656,100.083,Major Lazer,Kranium,6011093,83,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop rap', 'tropical house']",89977,65,"['basshall', 'dancehall']"
3962,63,False,1,4,79,2019-07-05,186874,11,0,4,0.0258,0.543,0.858,0.0,0.242,-5.447,0.279,0.613,99.604,Wiley,Kranium,294539,68,"['grime', 'house', 'uk dancehall', 'uk hip hop']",89977,65,"['basshall', 'dancehall']"
3963,82,False,1,2,79,2019-03-08,156346,5,0,4,0.0623,0.791,0.565,0.0,0.156,-3.933,0.0439,0.181,99.961,Marshmello,CHVRCHES,23115050,87,"['brostep', 'pop', 'progressive electro house']",1120362,74,"['electropop', 'indie pop', 'indie poptimism', 'indietronica', 'metropopolis', 'neo-synthpop', 'shimmer pop']"
