Source,Target,Weight,avg_streams,Year
atl hip hop,pittsburgh rap,2,3085640.0,2017
gangster rap,pittsburgh rap,2,3085640.0,2017
melodic rap,pittsburgh rap,3,3085640.0,2017
electro house,swedish pop,3,40050525.0,2017
deep tropical house,viral pop,2,101136424.5,2017
moombahton,trap,8,182128065.0,2017
atl hip hop,west coast rap,5,12728541.5,2017
pop rap,west coast rap,13,12728541.5,2017
southern hip hop,west coast rap,6,12728541.5,2017
trap,west coast rap,8,12728541.5,2017
canadian pop,deep house,2,24043561.0,2017
champeta,dance pop,2,56709840.5,2017
colombian pop,dance pop,5,56709840.5,2017
latin,reggae fusion,4,29952565.0,2017
reggae fusion,reggaeton,4,29952565.0,2017
reggae fusion,tropical,4,29952565.0,2017
chicano rap,pop rap,2,33505009.5,2017
big room,deep big room,7,24637953.0,2017
deep big room,electro house,4,24637953.0,2017
big room,dutch house,3,14324209.0,2017
big room,progressive electro house,4,14324209.0,2017
dutch house,progressive electro house,3,14324209.0,2017
electro house,progressive electro house,2,14324209.0,2017
dance pop,dutch pop,4,24700472.0,2017
progressive house,uk pop,8,232807764.5,2017
dance pop,dmv rap,4,226422064.5,2017
baile pop,latin,16,63758460.5,2017
baile pop,reggaeton,13,63758460.5,2017
funk das antigas,latin,14,63758460.5,2017
funk das antigas,reggaeton,11,63758460.5,2017
cubaton,miami hip hop,2,106381642.0,2017
pop,talent show,11,63610909.0,2017
hip hop,west coast rap,9,43056007.5,2017
alternative metal,hip hop,2,5240806.0,2017
hip hop,nu metal,2,5240806.0,2017
hip hop,post-grunge,2,5240806.0,2017
hip hop,rap metal,2,5240806.0,2017
alternative metal,pop rap,2,5240806.0,2017
nu metal,pop rap,2,5240806.0,2017
pop rap,post-grunge,2,5240806.0,2017
pop rap,rap metal,2,5240806.0,2017
alternative metal,rap,2,5240806.0,2017
nu metal,rap,2,5240806.0,2017
post-grunge,rap,2,5240806.0,2017
rap,rap metal,2,5240806.0,2017
r&b,uk pop,6,47334013.0,2017
canadian contemporary r&b,conscious hip hop,4,238054470.0,2017
danish pop,electropop,2,61840542.0,2017
electropop,indie pop,2,61840542.0,2017
edm,hip pop,3,92098052.0,2017
edm,queens hip hop,3,92098052.0,2017
electro house,hip pop,2,92098052.0,2017
electro house,queens hip hop,2,92098052.0,2017
hip pop,tropical house,3,92098052.0,2017
queens hip hop,tropical house,3,92098052.0,2017
hip pop,toronto rap,2,98445247.5,2017
hip pop,urban contemporary,4,328093669.5,2017
queens hip hop,toronto rap,2,98445247.5,2017
queens hip hop,urban contemporary,4,328093669.5,2017
barbadian pop,dance pop,3,282868534.5,2017
barbadian pop,southern hip hop,3,282564974.0,2017
electropop,toronto rap,4,60113338.5,2017
detroit hip hop,g funk,5,45597255.5,2017
australian dance,electropop,10,160685232.0,2017
adult standards,canadian pop,6,7279933.5,2017
dance pop,shiver pop,4,29183527.5,2017
pop,shiver pop,5,29183527.5,2017
post-teen pop,shiver pop,2,29183527.5,2017
contemporary country,electropop,11,64738564.5,2017
country,electropop,5,64738564.5,2017
country pop,electropop,5,64738564.5,2017
country road,electropop,6,64738564.5,2017
electropop,modern country rock,5,64738564.5,2017
latin arena pop,latin pop,6,67532331.0,2017
alternative r&b,canadian pop,5,239304571.5,2017
hip hop,indie r&b,11,16444373.0,2017
indie r&b,rap,12,16444373.0,2017
emo rap,melodic rap,23,110220715.5,2017
emo rap,rap,40,110220715.5,2017
emo rap,trap,39,110220715.5,2017
pop,puerto rican pop,22,481490487.0,2017
post-teen pop,puerto rican pop,12,481490487.0,2017
deep house,pop rap,2,88346101.0,2017
latin viral pop,trap latino,10,127712034.5,2017
german dance,post-teen pop,4,81917140.0,2017
australian pop,dance pop,8,159860586.5,2017
australian pop,post-teen pop,15,159860586.5,2017
alternative hip hop,dmv rap,7,3511966.5,2017
alternative hip hop,pop rap,8,3511966.5,2017
conscious hip hop,conscious hip hop,3,3511966.5,2017
conscious hip hop,dmv rap,2,3511966.5,2017
trap soul,urban contemporary,5,284646657.0,2017
electropop,uk dance,9,162614420.0,2017
contemporary country,contemporary country,2,13617013.0,2017
contemporary country,country,2,13617013.0,2017
southern hip hop,uk hip hop,3,7787569.0,2017
trap,uk hip hop,4,7787569.0,2017
hip hop,uk pop,10,32701080.5,2017
pop,scandipop,4,223074528.0,2017
latin,pop reggaeton,27,66134968.5,2017
pop reggaeton,reggaeton,19,66134968.5,2017
tropical house,uk funky,9,460031378.5,2017
pop rap,uk funky,9,411163127.0,2017
swedish pop,uk dance,4,247680914.0,2017
dance pop,west coast rap,2,121231746.0,2017
electro latino,latin,7,26024228.5,2017
electro latino,reggaeton,5,26024228.5,2017
new jersey rap,pop edm,2,40925494.0,2017
pop edm,rap,6,40925494.0,2017
pop edm,southern hip hop,2,40925494.0,2017
pop edm,trap,4,40925494.0,2017
baile pop,moombahton,2,41940812.0,2017
funk carioca,moombahton,2,41940812.0,2017
big room,indietronica,4,18340420.5,2017
belgian edm,dance pop,5,33655309.0,2017
belgian dance,pop,3,33655309.0,2017
belgian edm,electropop,2,33655309.0,2017
belgian edm,indie poptimism,2,33655309.0,2017
belgian edm,indietronica,2,33655309.0,2017
dancehall,pop rap,4,6959880.5,2017
reggaeton,spanish pop,5,39135112.0,2017
atl hip hop,latin,4,10696074.0,2017
atl hip hop,reggaeton,4,10696074.0,2017
pop rap,spanish pop,4,10696074.0,2017
latin,uk dancehall,5,10696074.0,2017
latin,uk hip hop,5,10696074.0,2017
reggaeton,uk dancehall,4,10696074.0,2017
reggaeton,uk hip hop,4,10696074.0,2017
hip hop,old school hip hop,2,3372475.0,2017
dmv rap,east coast hip hop,10,3372475.0,2017
afro dancehall,pop rap,7,193692587.5,2017
afropop,pop rap,9,193692587.5,2017
azonto,pop rap,6,193692587.5,2017
canadian pop,latin,8,858333467.0,2017
canadian pop,tropical,6,858333467.0,2017
electro house,uk pop,14,25461164.0,2017
basshall,pop,5,3223687.0,2017
dance pop,swedish electropop,6,233851396.5,2017
swedish electropop,tropical house,6,233851396.5,2017
conscious hip hop,r&b,5,130992908.5,2017
southern hip hop,trap soul,6,89013708.5,2017
modern rock,new orleans rap,2,84323037.0,2017
new orleans rap,rock,2,84323037.0,2017
conscious hip hop,modern rock,3,84323037.0,2017
dmv rap,modern rock,2,84323037.0,2017
dmv rap,rock,2,84323037.0,2017
modern rock,r&b,2,84323037.0,2017
modern rock,trap soul,2,84323037.0,2017
r&b,rock,2,84323037.0,2017
rock,trap soul,2,84323037.0,2017
modern rock,pittsburgh rap,2,84323037.0,2017
pittsburgh rap,rock,2,84323037.0,2017
modern rock,rock,2,84323037.0,2017
pittsburgh rap,pop,3,84323037.0,2017
modern alternative rock,southern hip hop,2,84323037.0,2017
southern hip hop,stomp pop,2,84323037.0,2017
latin arena pop,trap latino,5,67574150.0,2017
electro house,neo mellow,3,80620686.5,2017
electro house,pop rock,3,80620686.5,2017
dance pop,deep euro house,3,131275922.0,2017
dance pop,deep house,3,131275922.0,2017
dance pop,german dance,4,131275922.0,2017
deep euro house,edm,2,131275922.0,2017
deep house,edm,2,131275922.0,2017
edm,german dance,3,131275922.0,2017
deep euro house,tropical house,2,131275922.0,2017
deep house,tropical house,2,131275922.0,2017
german dance,tropical house,3,131275922.0,2017
alternative r&b,r&b,8,93704380.0,2017
r&b,trap soul,4,93704380.0,2017
edm,piano rock,3,66917139.0,2017
piano rock,pop,3,66917139.0,2017
piano rock,tropical house,3,66917139.0,2017
pop rock,west coast rap,1,238025443.0,2017
electropop,la pop,1,31857402.0,2017
electropop,vapor soul,1,31857402.0,2017
la pop,pop,2,31857402.0,2017
la pop,tropical house,1,31857402.0,2017
tropical house,vapor soul,4,31857402.0,2017
philly rap,southern hip hop,3,344099605.0,2017
canadian hip hop,miami hip hop,1,7875553.0,2017
miami hip hop,toronto rap,1,7875553.0,2017
celtic,new wave pop,3,24576437.0,2017
celtic punk,new wave pop,3,24576437.0,2017
celtic rock,new wave pop,3,24576437.0,2017
folk punk,new wave pop,3,24576437.0,2017
irish folk,new wave pop,3,24576437.0,2017
new wave pop,punk,3,24576437.0,2017
indie pop rap,r&b,1,109419683.0,2017
indie pop rap,urban contemporary,1,109419683.0,2017
deep german hip hop,deep german hip hop,9,3282104.0,2017
latin,r&b,4,121379966.0,2017
r&b,reggaeton,3,121379966.0,2017
dance pop,francoton,5,121379966.0,2017
francoton,post-teen pop,4,121379966.0,2017
francoton,r&b,2,121379966.0,2017
pop nacional,pop nacional,2,198292351.0,2017
detroit hip hop,funk das antigas,2,19841194.0,2017
detroit hip hop,pagode baiano,2,19841194.0,2017
afrofuturismo brasileiro,funk das antigas,3,19841194.0,2017
bass trap,funk das antigas,3,19841194.0,2017
electronic trap,funk das antigas,4,19841194.0,2017
afrofuturismo brasileiro,pagode baiano,3,19841194.0,2017
bass trap,pagode baiano,3,19841194.0,2017
electronic trap,pagode baiano,4,19841194.0,2017
afrofuturismo brasileiro,detroit hip hop,2,19841194.0,2017
bass trap,detroit hip hop,2,19841194.0,2017
detroit hip hop,electronic trap,2,19841194.0,2017
detroit hip hop,pop nacional,2,19841194.0,2017
house,toronto rap,4,4412014.0,2017
progressive house,toronto rap,2,4412014.0,2017
toronto rap,uk dance,2,4412014.0,2017
toronto rap,underground hip hop,2,4412014.0,2017
brostep,dance pop,9,204691843.0,2017
brostep,post-teen pop,8,204691843.0,2017
champeta,latin viral pop,1,15404365.0,2017
champeta,mexican pop,1,15404365.0,2017
colombian pop,latin viral pop,1,15404365.0,2017
colombian pop,mexican pop,4,15404365.0,2017
electro latino,latin pop,2,15404365.0,2017
electro latino,latin viral pop,1,15404365.0,2017
electro latino,mexican pop,2,15404365.0,2017
latin pop,latin viral pop,6,15404365.0,2017
edm,moombahton,10,90238003.0,2017
electronic trap,moombahton,3,90238003.0,2017
danish pop,electronic trap,1,90238003.0,2017
electronic trap,electropop,1,90238003.0,2017
electronic trap,indie pop,1,90238003.0,2017
electronic trap,indie poptimism,1,90238003.0,2017
dance pop,disco house,8,5697984.0,2017
disco house,edm,5,5697984.0,2017
disco house,pop,8,5697984.0,2017
disco house,tropical house,5,5697984.0,2017
dance pop,social media pop,5,299723337.0,2017
electro house,social media pop,2,299723337.0,2017
electropop,social media pop,3,299723337.0,2017
pop,social media pop,8,299723337.0,2017
pop edm,social media pop,2,299723337.0,2017
pop rap,social media pop,4,299723337.0,2017
post-teen pop,social media pop,6,299723337.0,2017
social media pop,tropical house,6,299723337.0,2017
canadian pop,moombahton,1,214754829.0,2017
canadian pop,danish pop,1,214754829.0,2017
canadian pop,indie pop,1,214754829.0,2017
canadian pop,indie poptimism,1,214754829.0,2017
danish pop,post-teen pop,1,214754829.0,2017
alternative r&b,brostep,3,353188336.0,2017
alternative r&b,progressive electro house,3,353188336.0,2017
conscious hip hop,irish rock,1,45685938.0,2017
conscious hip hop,permanent wave,1,45685938.0,2017
hip hop,irish rock,1,45685938.0,2017
irish rock,rap,1,45685938.0,2017
irish rock,west coast rap,1,45685938.0,2017
permanent wave,west coast rap,1,45685938.0,2017
rock,west coast rap,1,45685938.0,2017
electropop,new orleans rap,1,18994172.0,2017
dance pop,electropowerpop,1,24963585.0,2017
electropowerpop,pop,1,24963585.0,2017
electropowerpop,post-teen pop,1,24963585.0,2017
electropowerpop,viral pop,1,24963585.0,2017
indie poptimism,viral pop,1,24963585.0,2017
dancehall,latin hip hop,2,50472050.0,2017
latin,soca,1,50472050.0,2017
latin hip hop,soca,1,50472050.0,2017
reggaeton,soca,1,50472050.0,2017
soca,tropical,1,50472050.0,2017
bachata,trap latino,11,87048979.0,2017
australian dance,big room,1,29245843.0,2017
australian dance,edm,10,29245843.0,2017
australian dance,electro house,1,29245843.0,2017
australian dance,tropical house,10,29245843.0,2017
canadian electronic,dance pop,3,4213019.0,2017
canadian electronic,edm,3,4213019.0,2017
canadian electronic,electro house,3,4213019.0,2017
canadian electronic,house,3,4213019.0,2017
canadian electronic,pop,1,4213019.0,2017
canadian electronic,progressive house,1,4213019.0,2017
canadian electronic,tropical house,3,4213019.0,2017
canadian electronic,uk dance,1,4213019.0,2017
electro house,house,7,4213019.0,2017
electronic trap,house,1,4213019.0,2017
electronic trap,progressive house,1,4213019.0,2017
electronic trap,uk dance,1,4213019.0,2017
dance pop,turntablism,1,4213019.0,2017
edm,turntablism,1,4213019.0,2017
electro house,turntablism,1,4213019.0,2017
house,turntablism,1,4213019.0,2017
pop,turntablism,1,4213019.0,2017
progressive house,turntablism,1,4213019.0,2017
tropical house,turntablism,1,4213019.0,2017
turntablism,uk dance,1,4213019.0,2017
canadian electronic,rap,5,4213019.0,2017
rap,turntablism,1,4213019.0,2017
chicago rap,gangster rap,5,66578016.0,2017
gangster rap,new orleans rap,2,66578016.0,2017
atl hip hop,uk pop,3,21483759.0,2017
neo mellow,post-teen pop,1,20564528.0,2017
neo soul,post-teen pop,4,20564528.0,2017
big room,candy pop,2,39333129.0,2017
big room,metropopolis,2,39333129.0,2017
candy pop,deep big room,2,39333129.0,2017
deep big room,electropop,3,39333129.0,2017
deep big room,metropopolis,2,39333129.0,2017
deep big room,post-teen pop,3,39333129.0,2017
candy pop,dutch house,2,39333129.0,2017
dutch house,metropopolis,2,39333129.0,2017
candy pop,electro house,2,39333129.0,2017
electro house,metropopolis,2,39333129.0,2017
candy pop,progressive electro house,2,39333129.0,2017
metropopolis,progressive electro house,5,39333129.0,2017
candy pop,progressive house,2,39333129.0,2017
metropopolis,progressive house,2,39333129.0,2017
deep big room,hip hop,2,39333129.0,2017
deep big room,pop rap,2,39333129.0,2017
deep big room,rap,6,39333129.0,2017
deep big room,southern hip hop,2,39333129.0,2017
deep big room,trap,4,39333129.0,2017
dutch house,hip hop,2,39333129.0,2017
dutch house,rap,2,39333129.0,2017
dutch house,southern hip hop,2,39333129.0,2017
dutch house,trap,2,39333129.0,2017
hip hop,progressive electro house,6,39333129.0,2017
pop rap,progressive electro house,9,39333129.0,2017
progressive electro house,rap,8,39333129.0,2017
progressive electro house,southern hip hop,3,39333129.0,2017
progressive electro house,trap,4,39333129.0,2017
candy pop,hip hop,2,39333129.0,2017
candy pop,pop rap,5,39333129.0,2017
candy pop,rap,3,39333129.0,2017
candy pop,southern hip hop,2,39333129.0,2017
candy pop,trap,2,39333129.0,2017
hip hop,metropopolis,2,39333129.0,2017
metropopolis,southern hip hop,2,39333129.0,2017
metropopolis,trap,4,39333129.0,2017
dance pop,florida rap,1,17576753.0,2017
florida rap,pop,4,17576753.0,2017
florida rap,r&b,1,17576753.0,2017
memphis hip hop,r&b,1,17576753.0,2017
dirty south rap,florida rap,4,17576753.0,2017
florida rap,gangster rap,1,17576753.0,2017
florida rap,memphis hip hop,1,17576753.0,2017
florida rap,southern hip hop,8,17576753.0,2017
dirty south rap,miami hip hop,4,17576753.0,2017
gangster rap,miami hip hop,3,17576753.0,2017
memphis hip hop,miami hip hop,1,17576753.0,2017
memphis hip hop,southern hip hop,3,17576753.0,2017
dance pop,permanent wave,1,36181144.0,2017
edm,permanent wave,1,36181144.0,2017
electro house,permanent wave,1,36181144.0,2017
norwegian pop,permanent wave,1,36181144.0,2017
permanent wave,pop edm,1,36181144.0,2017
baile pop,big room,1,11685504.0,2017
big room,funk carioca,1,11685504.0,2017
big room,funk das antigas,1,11685504.0,2017
big room,pagode baiano,1,11685504.0,2017
baile pop,progressive electro house,1,11685504.0,2017
funk carioca,progressive electro house,1,11685504.0,2017
funk das antigas,progressive electro house,1,11685504.0,2017
pagode baiano,progressive electro house,1,11685504.0,2017
baile pop,progressive house,1,11685504.0,2017
funk carioca,progressive house,1,11685504.0,2017
funk das antigas,progressive house,1,11685504.0,2017
pagode baiano,progressive house,1,11685504.0,2017
deep pop edm,scandipop,1,3125372.0,2017
scandipop,swedish pop,1,3125372.0,2017
australian hip hop,baile pop,1,3934056.0,2017
baile pop,hip pop,1,3934056.0,2017
baile pop,post-teen pop,2,3934056.0,2017
australian hip hop,funk carioca,1,3934056.0,2017
funk carioca,hip pop,1,3934056.0,2017
funk carioca,post-teen pop,2,3934056.0,2017
australian hip hop,funk das antigas,1,3934056.0,2017
funk das antigas,hip pop,1,3934056.0,2017
funk das antigas,post-teen pop,2,3934056.0,2017
australian hip hop,pagode baiano,1,3934056.0,2017
hip pop,pagode baiano,1,3934056.0,2017
pagode baiano,post-teen pop,2,3934056.0,2017
complextro,edm,1,72564752.0,2017
edm,german techno,1,72564752.0,2017
complextro,tropical house,1,72564752.0,2017
german techno,tropical house,1,72564752.0,2017
cubaton,post-teen pop,1,23039700.0,2017
cubaton,urban contemporary,1,23039700.0,2017
latin,urban contemporary,4,23039700.0,2017
latin hip hop,urban contemporary,2,23039700.0,2017
latin pop,urban contemporary,2,23039700.0,2017
tropical,urban contemporary,2,23039700.0,2017
canadian hip hop,toronto rap,2,13345482.0,2017
toronto rap,toronto rap,2,13345482.0,2017
alternative hip hop,dancehall,1,9115642.0,2017
alternative hip hop,reggae fusion,1,9115642.0,2017
art pop,dancehall,1,9115642.0,2017
art pop,reggae fusion,1,9115642.0,2017
acoustic pop,big room,1,6043095.0,2017
acoustic pop,deep big room,1,6043095.0,2017
acoustic pop,edm,1,6043095.0,2017
acoustic pop,electro house,1,6043095.0,2017
acoustic pop,german techno,1,6043095.0,2017
acoustic pop,pop edm,1,6043095.0,2017
acoustic pop,progressive electro house,1,6043095.0,2017
acoustic pop,progressive house,1,6043095.0,2017
acoustic pop,sky room,1,6043095.0,2017
acoustic pop,tropical house,1,6043095.0,2017
big room,indiecoustica,1,6043095.0,2017
deep big room,indiecoustica,1,6043095.0,2017
edm,indiecoustica,1,6043095.0,2017
electro house,indiecoustica,1,6043095.0,2017
german techno,indiecoustica,1,6043095.0,2017
indiecoustica,pop edm,1,6043095.0,2017
indiecoustica,progressive electro house,1,6043095.0,2017
indiecoustica,progressive house,1,6043095.0,2017
indiecoustica,sky room,1,6043095.0,2017
indiecoustica,tropical house,1,6043095.0,2017
atl trap,edm,1,35526991.0,2017
atl trap,electro house,1,35526991.0,2017
atl trap,house,1,35526991.0,2017
atl trap,progressive house,1,35526991.0,2017
atl trap,tropical house,1,35526991.0,2017
atl trap,uk dance,1,35526991.0,2017
escape room,latin,1,145813718.0,2017
escape room,reggaeton,1,145813718.0,2017
latin,trap queen,1,145813718.0,2017
reggaeton,trap queen,1,145813718.0,2017
dance pop,escape room,2,145813718.0,2017
escape room,pop,3,145813718.0,2017
dance pop,rap latina,9,145813718.0,2017
pop,rap latina,7,145813718.0,2017
pop rap,rap latina,3,145813718.0,2017
dance pop,trap queen,3,145813718.0,2017
pop,trap queen,4,145813718.0,2017
dance pop,rock,4,32050457.0,2017
dance pop,stomp pop,2,32050457.0,2017
electropop,modern alternative rock,3,32050457.0,2017
electropop,modern rock,3,32050457.0,2017
electropop,rock,3,32050457.0,2017
electropop,stomp pop,2,32050457.0,2017
post-teen pop,rock,3,32050457.0,2017
post-teen pop,stomp pop,2,32050457.0,2017
canadian hip hop,chicago rap,3,19128891.0,2017
chicago rap,toronto rap,4,19128891.0,2017
deep pop r&b,detroit hip hop,1,3752647.0,2017
detroit hip hop,trap queen,1,3752647.0,2017
swedish pop,viral pop,1,42722765.0,2017
channel islands indie,east coast hip hop,1,25116893.0,2017
east coast hip hop,vapor soul,1,25116893.0,2017
channel islands indie,hip hop,1,25116893.0,2017
channel islands indie,pop rap,1,25116893.0,2017
pop rap,vapor soul,1,25116893.0,2017
channel islands indie,rap,1,25116893.0,2017
channel islands indie,southern hip hop,1,25116893.0,2017
southern hip hop,vapor soul,1,25116893.0,2017
channel islands indie,trap,1,25116893.0,2017
trap,vapor soul,1,25116893.0,2017
dance pop,grime,1,6241386.0,2017
girl group,grime,1,6241386.0,2017
girl group,uk hip hop,1,6241386.0,2017
grime,post-teen pop,1,6241386.0,2017
grime,talent show,1,6241386.0,2017
talent show,uk hip hop,1,6241386.0,2017
g funk,hip pop,2,8028606.0,2017
detroit hip hop,neo soul,1,8028606.0,2017
g funk,neo soul,1,8028606.0,2017
electropop,permanent wave,3,666118580.0,2017
dance pop,gauze pop,1,25739345.0,2017
edm,gauze pop,1,25739345.0,2017
electronic trap,gauze pop,1,25739345.0,2017
gauze pop,pop,1,25739345.0,2017
detroit hip hop,modern alternative rock,1,7127136.0,2017
detroit hip hop,modern rock,1,7127136.0,2017
detroit hip hop,pop rock,1,7127136.0,2017
detroit hip hop,rock,1,7127136.0,2017
detroit hip hop,stomp pop,1,7127136.0,2017
g funk,modern alternative rock,1,7127136.0,2017
g funk,modern rock,1,7127136.0,2017
g funk,pop rock,1,7127136.0,2017
g funk,rock,1,7127136.0,2017
g funk,stomp pop,1,7127136.0,2017
atl trap,melodic rap,15,3085640.0,2017
atl trap,pittsburgh rap,1,3085640.0,2017
big room,indie cafe pop,1,19217510.0,2017
dance pop,indie cafe pop,1,19217510.0,2017
deep tropical house,indie cafe pop,1,19217510.0,2017
electro house,indie cafe pop,1,19217510.0,2017
electropop,indie cafe pop,1,19217510.0,2017
house,indie cafe pop,1,19217510.0,2017
indie cafe pop,pop edm,1,19217510.0,2017
deep tropical house,swedish pop,1,19217510.0,2017
electropop,swedish pop,6,19217510.0,2017
house,swedish pop,1,19217510.0,2017
pop edm,swedish pop,1,19217510.0,2017
house,viral pop,1,19217510.0,2017
atl hip hop,moombahton,1,183657725.0,2017
hip hop,moombahton,2,183657725.0,2017
melodic rap,moombahton,3,183657725.0,2017
dfw rap,hip hop,14,520602889.0,2017
dfw rap,melodic rap,6,520602889.0,2017
canadian pop,deep euro house,1,2670842.0,2017
canadian pop,german dance,1,2670842.0,2017
alternative hip hop,escape room,2,7432920.0,2017
alternative hip hop,underground hip hop,1,7432920.0,2017
art pop,conscious hip hop,4,7432920.0,2017
art pop,escape room,2,7432920.0,2017
conscious hip hop,gqom,2,211077788.0,2017
gqom,hip hop,2,211077788.0,2017
gqom,rap,2,211077788.0,2017
gqom,west coast rap,2,211077788.0,2017
champeta,pop rap,1,32645871.0,2017
champeta,reggae fusion,1,32645871.0,2017
colombian pop,pop rap,1,32645871.0,2017
colombian pop,reggae fusion,1,32645871.0,2017
dance pop,electro latino,2,32645871.0,2017
electro latino,reggae fusion,1,32645871.0,2017
latin pop,reggae fusion,1,32645871.0,2017
deep underground hip hop,neo mellow,1,37986228.0,2017
indie pop rap,neo mellow,1,37986228.0,2017
neo mellow,pop rap,5,37986228.0,2017
neo mellow,rap,5,37986228.0,2017
neo mellow,underground hip hop,1,37986228.0,2017
deep underground hip hop,pop,1,37986228.0,2017
deep underground hip hop,viral pop,1,37986228.0,2017
underground hip hop,viral pop,1,37986228.0,2017
chicano rap,neo mellow,1,37986228.0,2017
chicano rap,pop,1,37986228.0,2017
chicano rap,viral pop,1,37986228.0,2017
chicano rap,deep underground hip hop,1,37986228.0,2017
chicano rap,indie pop rap,1,37986228.0,2017
chicano rap,rap,1,37986228.0,2017
chicano rap,underground hip hop,1,37986228.0,2017
deep big room,dutch house,1,14324209.0,2017
deep big room,progressive electro house,1,14324209.0,2017
big room,dutch edm,4,14324209.0,2017
dance pop,dutch edm,4,14324209.0,2017
dutch edm,dutch house,1,14324209.0,2017
dutch edm,edm,4,14324209.0,2017
dutch edm,electro house,3,14324209.0,2017
dutch edm,pop,4,14324209.0,2017
dutch edm,progressive electro house,1,14324209.0,2017
dutch edm,tropical house,4,14324209.0,2017
dutch house,dutch house,1,14324209.0,2017
big room,electronic trap,1,14324209.0,2017
dutch house,electronic trap,1,14324209.0,2017
electronic trap,progressive electro house,1,14324209.0,2017
progressive electro house,progressive electro house,1,14324209.0,2017
big room,progressive house,5,14324209.0,2017
dutch house,progressive house,1,14324209.0,2017
progressive electro house,progressive house,2,14324209.0,2017
dutch pop,uk pop,2,29589463.0,2017
big room,dutch pop,2,29589463.0,2017
dutch pop,progressive house,2,29589463.0,2017
hip hop,latin,9,3781901.0,2017
hip hop,reggaeton,6,3781901.0,2017
colombian pop,reggaeton flow,14,78987827.0,2017
latin,pagode baiano,11,61449453.0,2017
pagode baiano,reggaeton,8,61449453.0,2017
cubaton,cubaton,1,106381642.0,2017
latin hip hop,miami hip hop,1,106381642.0,2017
miami hip hop,reggaeton flow,1,106381642.0,2017
miami hip hop,tropical,1,106381642.0,2017
pop rap,reggaeton flow,15,106381642.0,2017
girl group,pop,5,114388292.0,2017
girl group,r&b,1,114388292.0,2017
girl group,trap soul,1,114388292.0,2017
r&b,talent show,1,114388292.0,2017
talent show,trap soul,1,114388292.0,2017
r&b,viral pop,3,114388292.0,2017
trap soul,viral pop,1,114388292.0,2017
melodic rap,west coast rap,3,21357450.0,2017
alternative metal,east coast hip hop,1,5602548.0,2017
east coast hip hop,nu metal,1,5602548.0,2017
east coast hip hop,post-grunge,1,5602548.0,2017
east coast hip hop,rap metal,1,5602548.0,2017
canadian contemporary r&b,west coast rap,2,26991759.0,2017
canadian pop,west coast rap,2,26991759.0,2017
electropop,francoton,1,4629114.0,2017
francoton,tropical house,2,4629114.0,2017
electropop,french pop,1,4629114.0,2017
french pop,pop,1,4629114.0,2017
french pop,tropical house,1,4629114.0,2017
atl hip hop,hip pop,5,77729248.0,2017
atl hip hop,queens hip hop,7,77729248.0,2017
danish pop,indie poptimism,1,111735536.0,2017
indie pop,indie poptimism,1,111735536.0,2017
indie poptimism,indie poptimism,1,111735536.0,2017
atl hip hop,underground hip hop,15,3186794.0,2017
hip pop,moombahton,1,180598405.0,2017
moombahton,queens hip hop,1,180598405.0,2017
moombahton,toronto rap,3,180598405.0,2017
moombahton,urban contemporary,1,180598405.0,2017
british soul,new jersey rap,1,48831201.0,2017
new jack swing,new jersey rap,1,48831201.0,2017
british soul,pop rap,1,48831201.0,2017
new jack swing,pop rap,1,48831201.0,2017
british soul,rap,1,48831201.0,2017
new jack swing,rap,1,48831201.0,2017
british soul,southern hip hop,1,48831201.0,2017
new jack swing,southern hip hop,1,48831201.0,2017
british soul,trap,1,48831201.0,2017
new jack swing,trap,1,48831201.0,2017
hip pop,viral pop,1,10263979.0,2017
queens hip hop,viral pop,1,10263979.0,2017
barbadian pop,dirty south rap,2,452700346.0,2017
barbadian pop,miami hip hop,2,452700346.0,2017
barbadian pop,urban contemporary,2,452700346.0,2017
florida rap,new orleans rap,2,26026855.0,2017
canadian electronic,deep big room,1,34951697.0,2017
deep big room,deep big room,1,34951697.0,2017
big room,pop edm,7,34951697.0,2017
canadian electronic,pop edm,1,34951697.0,2017
deep big room,pop edm,2,34951697.0,2017
big room,vapor twitch,1,34951697.0,2017
canadian electronic,vapor twitch,1,34951697.0,2017
dance pop,vapor twitch,1,34951697.0,2017
deep big room,vapor twitch,1,34951697.0,2017
edm,vapor twitch,1,34951697.0,2017
electro house,vapor twitch,1,34951697.0,2017
tropical house,vapor twitch,1,34951697.0,2017
adult standards,deep adult standards,3,9464685.0,2017
adult standards,vocal harmony group,3,9464685.0,2017
brill building pop,deep adult standards,3,9464685.0,2017
brill building pop,vocal harmony group,3,9464685.0,2017
deep adult standards,easy listening,3,9464685.0,2017
easy listening,vocal harmony group,3,9464685.0,2017
deep adult standards,lounge,3,9464685.0,2017
lounge,vocal harmony group,3,9464685.0,2017
big room,indie anthem-folk,2,3655614.0,2017
dance pop,indie anthem-folk,2,3655614.0,2017
edm,indie anthem-folk,2,3655614.0,2017
indie anthem-folk,pop,2,3655614.0,2017
indie anthem-folk,tropical house,2,3655614.0,2017
canadian hip hop,philly rap,5,37306670.0,2017
melodic rap,philly rap,10,37306670.0,2017
philly rap,toronto rap,5,37306670.0,2017
toronto rap,uk pop,1,96173591.0,2017
electropop,urban contemporary,1,96173591.0,2017
uk pop,urban contemporary,2,96173591.0,2017
chicago rap,detroit hip hop,1,3409899.0,2017
aussietronica,melbourne bounce,1,352947568.0,2017
